"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo"
"1226","PHI","MTL","Phoenix","Royal",15,23,2014-05-24,"2014-05-24-MTL-PHI","Royal","Phoenix","regular",1298.80141529721,1370.31316201082,1263.60243837695,1405.51213893108
"1227","CIN","MIN","Revolution","Wind Chill",25,26,2014-05-24,"2014-05-24-MIN-CIN","Wind Chill","Revolution","regular",1359.83587792233,1359.09491450129,1347.08935920042,1371.84143322321
"1228","TOR","DC","Rush","Breeze",27,17,2014-05-24,"2014-05-24-DC-TOR","Rush","Breeze","regular",1523.11283499663,1470.45645933006,1542.85192120831,1450.71737311839
"1229","MAD","CHI","Radicals","Union",15,12,2014-05-24,"2014-05-24-CHI-MAD","Radicals","Union","regular",1521.42109347583,1488.69882507104,1533.88509825602,1476.23482029085
"1222","SEA","VAN","Cascades","Riptide",16,21,2014-05-25,"2014-05-25-VAN-SEA","Riptide","Cascades","regular",1323.47870319047,1426.23932163578,1296.78235908681,1452.93566573944
"1223","NY","MTL","Empire","Royal",26,21,2014-05-25,"2014-05-25-MTL-NY","Empire","Royal","regular",1478.53362786702,1405.51213893108,1491.9752468151,1392.070519983
"1224","DET","MIN","Mechanix","Wind Chill",18,29,2014-05-25,"2014-05-25-MIN-DET","Wind Chill","Mechanix","regular",1214.93475157424,1371.84143322321,1182.88313350481,1403.89305129264
"1225","ROC","DC","Dragons","Breeze",21,26,2014-05-25,"2014-05-25-DC-ROC","Breeze","Dragons","regular",1258.78250049825,1450.71737311839,1237.98740473108,1471.51246888556
"1217","OAK","VAN","Spiders","Riptide",26,25,2014-05-31,"2014-05-31-VAN-SJ","Spiders","Riptide","regular",1533.2372105622,1452.93566573944,1538.26412368092,1447.90875262073
"1218","SAL","SEA","Lions","Cascades",15,22,2014-05-31,"2014-05-31-SEA-SLC","Cascades","Lions","regular",1198.87577306983,1296.78235908681,1167.52604329512,1328.13208886153
"1219","TOR","MTL","Rush","Royal",25,20,2014-05-31,"2014-05-31-MTL-TOR","Rush","Royal","regular",1542.85192120831,1392.070519983,1552.06747441559,1382.85496677572
"1220","CIN","MAD","Revolution","Radicals",12,29,2014-05-31,"2014-05-31-MAD-CIN","Radicals","Revolution","regular",1347.08935920042,1533.88509825602,1313.00005168525,1567.97440577119
"1221","DET","CHI","Mechanix","Union",17,31,2014-05-31,"2014-05-31-CHI-DET","Union","Mechanix","regular",1182.88313350481,1476.23482029085,1160.85551808151,1498.26243571415
"1214","SF","VAN","FlameThrowers","Riptide",20,16,2014-06-01,"2014-06-01-VAN-SF","FlameThrowers","Riptide","regular",1518.16899154171,1447.90875262073,1530.39774105007,1435.68000311237
"1215","PHI","NY","Phoenix","Empire",16,27,2014-06-01,"2014-06-01-NY-PHI","Empire","Phoenix","regular",1263.60243837695,1491.9752468151,1238.01349671269,1517.56418847936
"1216","ROC","MTL","Dragons","Royal",19,22,2014-06-01,"2014-06-01-MTL-ROC","Royal","Dragons","regular",1237.98740473108,1382.85496677572,1219.4862152971,1401.3561562097
"1208","VAN","SAL","Riptide","Lions",37,9,2014-06-07,"2014-06-07-SLC-VAN","Riptide","Lions","regular",1435.68000311237,1167.52604329512,1444.960147316,1158.24589909149
"1209","OAK","SF","Spiders","FlameThrowers",33,30,2014-06-07,"2014-06-07-SF-SJ","Spiders","FlameThrowers","regular",1538.26412368092,1530.39774105007,1552.12284559412,1516.53901913686
"1210","NY","MTL","Empire","Royal",24,16,2014-06-07,"2014-06-07-MTL-NY","Empire","Royal","regular",1517.56418847936,1401.3561562097,1530.98653865399,1387.93380603507
"1211","IND","MAD","AlleyCats","Radicals",12,23,2014-06-07,"2014-06-07-MAD-IND","Radicals","AlleyCats","regular",1456.01453745526,1567.97440577119,1419.8267826385,1604.16216058795
"1212","CHI","DET","Union","Mechanix",26,13,2014-06-07,"2014-06-07-DET-CHI","Union","Mechanix","regular",1498.26243571415,1160.85551808151,1503.18988707799,1155.92806671766
"1213","MIN","CIN","Wind Chill","Revolution",30,18,2014-06-07,"2014-06-07-CIN-MIN","Wind Chill","Revolution","regular",1403.89305129264,1313.00005168525,1421.59084639346,1295.30225658443
"1204","SEA","SAL","Cascades","Lions",35,11,2014-06-08,"2014-06-08-SLC-SEA","Cascades","Lions","regular",1328.13208886153,1158.24589909149,1343.14748644221,1143.23050151081
"1205","TOR","ROC","Rush","Dragons",38,18,2014-06-08,"2014-06-08-ROC-TOR","Rush","Dragons","regular",1552.06747441559,1219.4862152971,1557.91053535329,1213.6431543594
"1206","DC","MTL","Breeze","Royal",25,24,2014-06-08,"2014-06-08-MTL-DC","Breeze","Royal","regular",1471.51246888556,1387.93380603507,1476.46285488722,1382.98342003341
"1207","MAD","CIN","Radicals","Revolution",28,15,2014-06-08,"2014-06-08-CIN-MAD","Radicals","Revolution","regular",1604.16216058795,1295.30225658443,1609.95600908892,1289.50840808346
