"","homeCode","awayCode","homeTeam","awayTeam","homeScore","awayScore","date","gameID","winner","loser","type"
"1211","IND","MAD","AlleyCats","Radicals",12,23,2014-06-07,"2014-06-07-MAD-IND","Radicals","AlleyCats","regular"
"1212","CHI","DET","Union","Mechanix",26,13,2014-06-07,"2014-06-07-DET-CHI","Union","Mechanix","regular"
"1213","MIN","CIN","Wind Chill","Revolution",30,18,2014-06-07,"2014-06-07-CIN-MIN","Wind Chill","Revolution","regular"
"1204","SEA","SAL","Cascades","Lions",35,11,2014-06-08,"2014-06-08-SLC-SEA","Cascades","Lions","regular"
"1205","TOR","ROC","Rush","Dragons",38,18,2014-06-08,"2014-06-08-ROC-TOR","Rush","Dragons","regular"
"1206","DC","MTL","Breeze","Royal",25,24,2014-06-08,"2014-06-08-MTL-DC","Breeze","Royal","regular"
"1207","MAD","CIN","Radicals","Revolution",28,15,2014-06-08,"2014-06-08-CIN-MAD","Radicals","Revolution","regular"
"1198","MTL","TOR","Royal","Rush",18,31,2014-06-14,"2014-06-14-TOR-MTL","Rush","Royal","regular"
"1199","SF","SEA","FlameThrowers","Cascades",23,17,2014-06-14,"2014-06-14-SEA-SF","FlameThrowers","Cascades","regular"
"1200","ROC","PHI","Dragons","Phoenix",16,17,2014-06-14,"2014-06-14-PHI-ROC","Phoenix","Dragons","regular"
"1201","DC","NY","Breeze","Empire",31,26,2014-06-14,"2014-06-14-NY-DC","Breeze","Empire","regular"
"1202","MAD","MIN","Radicals","Wind Chill",23,15,2014-06-14,"2014-06-14-MIN-MAD","Radicals","Wind Chill","regular"
"1203","DET","IND","Mechanix","AlleyCats",19,27,2014-06-14,"2014-06-14-IND-DET","AlleyCats","Mechanix","regular"
"1196","OAK","SEA","Spiders","Cascades",24,21,2014-06-15,"2014-06-15-SEA-SJ","Spiders","Cascades","regular"
"1197","MTL","PHI","Royal","Phoenix",24,19,2014-06-15,"2014-06-15-PHI-MTL","Royal","Phoenix","regular"
"1195","MAD","CHI","Radicals","Union",24,19,2014-06-20,"2014-06-20-CHI-MAD","Radicals","Union","regular"
"1189","VAN","OAK","Riptide","Spiders",25,37,2014-06-21,"2014-06-21-SJ-VAN","Spiders","Riptide","regular"
"1190","SAL","SF","Lions","FlameThrowers",22,31,2014-06-21,"2014-06-21-SF-SLC","FlameThrowers","Lions","regular"
"1191","MTL","PHI","Royal","Phoenix",31,19,2014-06-21,"2014-06-21-PHI-MTL","Royal","Phoenix","regular"
"1192","TOR","NY","Rush","Empire",21,18,2014-06-21,"2014-06-21-NY-TOR","Rush","Empire","regular"
